"substring","tld"
"com","3507"
"","943"
"net","324"
"org","227"
"me","215"
"io","159"
"in","130"
"uk","123"
"de","80"
"info","54"
"edu","51"
"ca","47"
"nl","42"
"au","36"
"co","31"
"fr","30"
"eu","25"
"se","23"
"name","23"
"ir","21"
"be","21"
"ru","17"
"dk","16"
"us","16"
"pl","15"
"br","15"
"ch","14"
"cz","14"
"it","14"
"tk","13"
"xyz","13"
"ly","12"
"za","12"
"at","11"
"hu","10"
"gr","10"
"nz","9"
"es","9"
"ro","9"
"biz","8"
"1","8"
"ar","8"
"cx","7"
"fi","7"
"to","7"
"il","7"
"no","6"
"ie","6"
"cc","6"
"np","6"
"gl","5"
"im","5"
"tv","5"
"ws","4"
"pro","4"
"tr","4"
"jp","4"
"is","4"
"sk","4"
"lt","3"
"space","3"
"ovh","3"
"tech","3"
"cn","3"
"am","3"
"tn","3"
".","3"
"li","3"
"nu","3"
"pw","3"
"st","2"
"ninja","2"
"nr","2"
"digital","2"
"fm","2"
"bg","2"
"lv","2"
"ua","2"
"pt","2"
"ee","2"
"mx","2"
"id","2"
"lol","2"
"ms","2"
"by","2"
"Com","2"
"codes","1"
"coop","1"
"mobi","1"
"link","1"
"design","1"
"js","1"
"solutions","1"
"me?da","1"
"ke","1"
"so","1"
"ooo","1"
"hk","1"
"services","1"
"ht","1"
"Paramone","1"
"one","1"
"cr","1"
"dimension","1"
"sexy","1"
"kr","1"
"productions","1"
"tc","1"
"now","1"
"london","1"
"photography","1"
"work","1"
"us?SE","1"
"pn","1"
"for","1"
"d","1"
"lu","1"
"pe","1"
"fyi","1"
"ME","1"
"ink","1"
"cat","1"
"gs","1"
"ma","1"
"gq","1"
"lk","1"
"ge","1"
"seriously","1"
"ml","1"
"TV","1"
"bz","1"
"com?utm_source=personal%20website%20link&utm_medium=stackExchange&utm_campaign=2014%20september%20homepage","1"
"run","1"
"SE","1"
"si","1"
"club","1"
"glass","1"
"wtf","1"
"al","1"
"A","1"
"systems","1"
"kz","1"
"website","1"
"207","1"
"tf","1"
"th","1"
"bd","1"
"ng","1"
"Stilllearning","1"
"today","1"
"10","1"
"ph","1"
"143","1"
"dk(notrunningatthemoment)","1"
"dj","1"
"cl","1"
"facebookvjooo","1"
"gov","1"
"la","1"
"do","1"
"world","1"
"mp","1"
"tz","1"
"gd","1"
"re","1"